date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:27:57	285/285	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Mar%202019%2016:27:57%20GMT	https://bucksfort.com/robots.txt		(from )
08:27:57	137309/137309	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Feb%202019%2021:22:43%20GMT	https://bucksfort.com/	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/index.html	(from )
08:27:59	61853/61853	---M-Z	200	added ('OK')	text/plain	etag:%2232277d-f19d-57ee24d6ad936%22	https://bucksfort.com/fonts/fortnite.woff	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/fonts/fortnite.woff	(from https://bucksfort.com/)
08:27:59	566635/566635	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4a8f-8a56b%22	https://cdnjs.cloudflare.com/ajax/libs/semantic-ui/2.2.13/semantic.min.css	/storage/emulated/0/HTTrack/Websites/buck/cdnjs.cloudflare.com/ajax/libs/semantic-ui/2.2.13/semantic.min.css	(from https://bucksfort.com/)
08:28:00	59889/59889	---M--	200	added ('OK')	image/jpeg	etag:%22322789-e9f1-582f9400ebe5b%22	https://bucksfort.com/img/bg.jpg	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/img/bg.jpg	(from https://bucksfort.com/)
08:28:02	21919/21919	---M--	200	added ('OK')	image/jpeg	etag:%22322788-559f-57ee24d73512e%22	https://bucksfort.com/img/1.jpg	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/img/1.jpg	(from https://bucksfort.com/)
08:28:02	31051/31051	---M--	200	added ('OK')	image/jpeg	etag:%22322786-794b-57ee24d7197c6%22	https://bucksfort.com/img/2.jpg	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/img/2.jpg	(from https://bucksfort.com/)
08:28:04	38618/38618	---M--	200	added ('OK')	image/jpeg	etag:%22322787-96da-57ee24d72f756%22	https://bucksfort.com/img/3.jpg	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/img/3.jpg	(from https://bucksfort.com/)
08:28:04	50806/50806	---M--	200	added ('OK')	image/jpeg	etag:%22322785-c676-57ee24d6fcad6%22	https://bucksfort.com/img/4.jpg	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/img/4.jpg	(from https://bucksfort.com/)
08:28:14	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494f-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	/storage/emulated/0/HTTrack/Websites/buck/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://bucksfort.com/)
08:28:25	382865/382865	---M--	200	added ('OK')	image/png	etag:%22322780-5d791-57ee24d70b536%22	https://bucksfort.com/img/png3.png	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/img/png3.png	(from https://bucksfort.com/)
08:28:26	192093/192093	---M--	200	added ('OK')	image/png	etag:%2232277e-2ee5d-57ee24d6dcb1e%22	https://bucksfort.com/img/png4.png	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/img/png4.png	(from https://bucksfort.com/)
08:28:29	387/387	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Mar%202019%2016:28:29%20GMT	https://bucksfort.com/xxx/	/storage/emulated/0/HTTrack/Websites/buck/bucksfort.com/xxx/index.html	(from https://bucksfort.com/)
08:28:29	28123/28123	---M--	200	added ('OK')	image/png	etag:%225afd4ad4-6ddb%22	https://cdnjs.cloudflare.com/ajax/libs/semantic-ui/2.2.13/themes/default/assets/images/flags.png	/storage/emulated/0/HTTrack/Websites/buck/cdnjs.cloudflare.com/ajax/libs/semantic-ui/2.2.13/themes/default/assets/images/flags.png	(from https://cdnjs.cloudflare.com/ajax/libs/semantic-ui/2.2.13/semantic.min.css)
08:28:29	283536/283536	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a8f-45390%22	https://cdnjs.cloudflare.com/ajax/libs/semantic-ui/2.2.13/semantic.min.js	/storage/emulated/0/HTTrack/Websites/buck/cdnjs.cloudflare.com/ajax/libs/semantic-ui/2.2.13/semantic.min.js	(from https://bucksfort.com/)
